Concurso;Data_Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_Numeros;Ganhadores_14_Numeros;Ganhadores_13_Numeros;Ganhadores_12_Numeros;Ganhadores_11_Numeros;Valor_Rateio_15_Numeros;Valor_Rateio_14_Numeros;Valor_Rateio_13_Numeros;Valor_Rateio_12_Numeros;Valor_Rateio_11_Numeros;Acumulado_15_Numeros;Estimativa_Premio;Valor_Acumulado_Especial;Pares;Impares;N_Primos
19;02/02/2004;02;05;06;07;08;10;11;13;14;15;16;17;20;23;24;0,00;10;818;23594;326913;1333412;0;0;0;0;0;0;0;0;8;7;7
20;09/02/2004;03;04;06;07;08;09;10;14;16;17;18;19;20;23;24;0,00;9;931;19580;266087;1462294;0;0;0;0;0;0;0;0;9;6;5
21;16/02/2004;01;02;04;05;08;11;14;16;18;19;20;22;23;24;25;0,00;3;316;13077;203475;1211951;0;0;0;0;0;0;0;0;9;6;5
22;25/02/2004;01;02;03;04;05;06;07;09;10;12;13;14;15;22;25;0,00;1;484;55372;152738;868693;0;0;0;0;0;0;0;0;7;8;5
23;01/03/2004;01;03;04;05;06;08;10;11;12;14;16;17;18;19;20;0,00;1;541;16248;215670;1187602;0;0;0;0;0;0;0;0;9;6;5
24;08/03/2004;01;02;03;05;07;10;11;14;17;19;20;21;23;24;25;0,00;2;585;22453;258724;1286374;0;0;0;0;0;0;0;0;5;10;8
25;15/03/2004;01;02;03;04;05;06;07;09;13;14;16;20;22;23;24;0,00;0;417;16108;213231;1288117;0;0;0;0;0;0;0;0;8;7;6
26;22/03/2004;05;07;08;09;10;11;13;14;16;17;19;20;21;22;23;0,00;3;602;22397;317722;1659205;0;0;0;0;0;0;0;0;6;9;7
27;29/03/2004;03;06;08;10;11;12;13;14;15;18;20;21;22;24;25;0,00;2;466;15650;216827;1192912;0;0;0;0;0;0;0;0;9;6;3
28;05/04/2004;01;03;07;09;10;11;12;13;14;16;17;18;19;20;21;0,00;2;556;22300;307113;1363336;0;0;0;0;0;0;0;0;6;9;6
29;12/04/2004;01;04;05;06;08;09;13;14;16;17;19;20;21;22;24;0,00;5;456;14375;181147;1203109;0;0;0;0;0;0;0;0;8;7;4
30;19/04/2004;01;02;03;04;06;07;08;11;14;17;19;20;21;22;23;0,00;2;345;13480;184916;1136035;0;0;0;0;0;0;0;0;7;8;7
31;26/04/2004;01;02;03;04;09;13;14;15;17;19;20;21;22;24;25;0,00;3;250;13005;189635;1161305;0;0;0;0;0;0;0;0;6;9;5
32;03/05/2004;01;02;04;06;07;09;10;11;14;15;16;17;20;22;23;0,00;2;384;14060;199525;1175480;0;0;0;0;0;0;0;0;8;7;5
33;10/05/2004;01;02;05;07;08;10;11;12;14;16;19;20;21;23;24;0,00;9;1358;35450;328729;1417927;0;0;0;0;0;0;0;0;8;7;6
34;17/05/2004;01;02;04;07;08;09;10;11;15;16;18;19;20;21;23;0,00;0;407;16589;216210;1359006;0;0;0;0;0;0;0;0;7;8;5
35;24/05/2004;01;04;05;06;11;12;13;14;16;17;19;21;22;23;25;0,00;1;291;12750;191524;1338198;0;0;0;0;0;0;0;0;6;9;6
36;31/05/2004;01;04;05;07;08;10;11;14;17;19;20;21;22;23;24;0,00;6;1573;40526;453277;14148;0;0;0;0;0;0;0;0;7;8;6
37;07/06/2004;01;03;04;05;08;09;10;11;13;15;20;21;22;23;24;0,00;1;283;11976;182815;1220504;0;0;0;0;0;0;0;0;6;9;5
38;14/06/2004;01;02;03;06;07;08;09;10;13;14;15;16;22;24;25;0,00;0;298;12361;181763;1122407;0;0;0;0;0;0;0;0;8;7;4
39;21/06/2004;02;07;08;09;11;13;14;15;17;18;19;21;22;23;24;0,00;3;915;31607;352332;1626512;0;0;0;0;0;0;0;0;6;9;7
40;28/06/2004;01;02;05;07;08;10;12;13;14;16;17;20;21;22;24;0,00;9;650;20792;266561;1331593;0;0;0;0;0;0;0;0;9;6;5
41;05/07/2004;02;03;04;09;12;13;15;16;17;18;19;20;21;23;25;0,00;5;431;16555;218669;1304019;0;0;0;0;0;0;0;0;6;9;6
42;12/07/2004;01;03;04;05;06;08;11;12;14;15;17;21;22;24;25;0,00;1;351;14288;205537;1065540;0;0;0;0;0;0;0;0;7;8;4
43;19/07/2004;01;03;06;07;08;09;10;14;17;18;19;20;22;23;24;0,00;2;448;31225;257520;1394077;0;0;0;0;0;0;0;0;8;7;5
44;26/07/2004;03;04;05;06;10;11;12;13;14;18;19;21;23;24;25;0,00;0;334;12675;172526;1140441;0;0;0;0;0;0;0;0;7;8;6
45;02/08/2004;01;02;03;05;07;09;14;16;17;18;19;21;23;24;25;0,00;4;602;23232;353114;1591989;0;0;0;0;0;0;0;0;5;10;7
46;09/08/2004;01;02;04;05;06;08;10;11;14;18;19;21;23;24;25;0,00;4;825;24898;340899;1460500;0;0;0;0;0;0;0;0;8;7;5
47;16/08/2004;01;02;03;04;05;06;08;10;11;13;15;18;20;22;25;0,00;16;933;25668;259783;1267303;0;0;0;0;0;0;0;0;8;7;5
48;23/08/2004;02;05;06;07;11;13;15;16;17;18;19;20;21;22;23;0,00;2;331;13606;193466;1299636;0;0;0;0;0;0;0;0;6;9;8
49;30/08/2004;02;04;05;06;08;11;13;15;16;19;20;21;22;23;24;0,00;0;673;22438;282506;1269761;0;0;0;0;0;0;0;0;8;7;6
50;06/09/2004;01;02;03;06;07;09;10;11;12;13;19;20;21;23;25;0,00;1;659;21583;298054;1545777;0;0;0;0;0;0;0;0;5;10;7
51;13/09/2004;01;03;05;06;07;08;11;13;14;16;17;20;21;22;23;0,00;2;765;22722;302341;1520867;0;0;0;0;0;0;0;0;6;9;7
52;20/09/2004;01;02;04;08;09;11;12;13;15;16;21;22;23;24;25;0,00;3;420;24265;205595;1156747;0;0;0;0;0;0;0;0;7;8;4
53;27/09/2004;01;02;03;06;07;09;11;12;14;17;18;19;20;23;24;0,00;4;564;19767;262234;1425498;0;0;0;0;0;0;0;0;7;8;7
54;04/10/2004;02;04;05;06;07;08;09;12;14;16;18;20;21;22;24;0,00;27;2269;40058;272073;1157000;0;0;0;0;0;0;0;0;11;4;3
55;11/10/2004;02;03;04;05;06;07;08;09;12;13;15;16;18;19;25;0,00;6;682;24083;253488;1334310;0;0;0;0;0;0;0;0;7;8;6
56;18/10/2004;01;02;05;09;12;13;14;15;16;17;19;20;22;23;24;0,00;0;401;17323;225472;1396834;0;0;0;0;0;0;0;0;7;8;6
57;25/10/2004;01;02;03;04;06;07;08;11;12;17;19;20;21;22;25;0,00;1;571;33796;229355;1390034;0;0;0;0;0;0;0;0;7;8;6
58;01/11/2004;03;04;05;06;11;12;13;14;15;16;17;18;19;20;22;0,00;6;559;17361;165098;1095964;0;0;0;0;0;0;0;0;8;7;6
59;08/11/2004;01;03;05;06;07;08;10;11;13;14;15;19;20;23;25;0,00;2;662;27187;351810;1707263;0;0;0;0;0;0;0;0;5;10;7
60;16/11/2004;01;02;03;04;05;08;11;16;17;18;19;22;23;24;25;0,00;3;362;30873;165747;1022631;0;0;0;0;0;0;0;0;7;8;7
61;22/11/2004;01;04;05;09;11;12;13;14;15;16;19;20;22;23;25;0,00;2;300;14553;253317;1311870;0;0;0;0;0;0;0;0;6;9;5
62;29/11/2004;01;03;07;08;09;11;13;14;15;16;17;18;20;24;25;0,00;5;432;19513;234116;1336449;0;0;0;0;0;0;0;0;6;9;5
63;06/12/2004;04;08;09;10;11;12;13;16;17;19;20;21;22;24;25;0,00;2;379;15221;209528;1301392;0;0;0;0;0;0;0;0;8;7;4
64;13/12/2004;01;02;03;06;07;08;09;10;13;14;17;18;20;23;25;0,00;4;525;20308;280806;1586899;0;0;0;0;0;0;0;0;7;8;6
65;20/12/2004;01;02;04;07;10;15;16;17;18;19;20;21;22;23;25;0,00;0;300;13067;218281;1147456;0;0;0;0;0;0;0;0;7;8;5
66;27/12/2004;01;02;04;08;10;11;14;15;16;17;20;21;22;23;24;0,00;8;834;25470;309390;1631513;0;0;0;0;0;0;0;0;9;6;4
67;03/01/2005;05;07;08;09;10;11;12;13;15;16;20;21;22;23;24;0,00;4;294;12324;205063;1212285;0;0;0;0;0;0;0;0;7;8;5
68;10/01/2005;01;02;03;05;06;07;08;09;10;12;16;17;22;23;25;0,00;2;368;14579;211030;1291340;0;0;0;0;0;0;0;0;7;8;6
69;17/01/2005;01;04;07;08;09;10;11;15;17;18;19;20;21;23;24;0,00;4;619;34720;283047;1543014;0;0;0;0;0;0;0;0;6;9;5
70;24/01/2005;01;02;03;05;06;09;10;12;14;15;16;19;20;24;25;0,00;6;611;19413;230116;1265554;0;0;0;0;0;0;0;0;8;7;4
71;31/01/2005;01;03;05;06;08;09;11;13;14;15;16;18;21;22;23;0,00;4;744;21490;276234;1289869;0;0;0;0;0;0;0;0;6;9;5
72;09/02/2005;01;02;05;07;08;11;12;13;15;16;17;18;23;24;25;0,00;2;485;16561;198957;1178585;0;0;0;0;0;0;0;0;6;9;7
73;14/02/2005;01;02;05;07;10;11;13;14;15;16;17;18;19;21;25;0,00;3;401;16615;240646;1388168;0;0;0;0;0;0;0;0;5;10;7
74;21/02/2005;01;02;03;04;05;06;08;11;13;15;16;18;22;23;25;0,00;7;861;36320;325482;1342101;0;0;0;0;0;0;0;0;7;8;6
75;28/02/2005;01;03;04;05;06;07;08;10;11;13;15;16;17;20;25;0,00;2;564;22764;330303;1538522;0;0;0;0;0;0;0;0;6;9;6
76;07/03/2005;01;03;05;08;09;10;12;13;15;16;17;19;21;23;25;0,00;13;2705;63452;463129;1672037;0;0;0;0;0;0;0;0;4;11;6
77;14/03/2005;02;03;04;06;08;09;11;14;17;18;20;21;22;24;25;0,00;4;742;21609;228257;1213259;0;0;0;0;0;0;0;0;9;6;4
78;21/03/2005;01;02;03;05;06;07;08;12;13;15;16;17;18;20;23;0,00;1;643;23291;317982;1617133;0;0;0;0;0;0;0;0;7;8;7
79;28/03/2005;01;02;03;05;09;12;14;15;17;18;20;22;23;24;25;0,00;1;443;17526;230930;1249856;0;0;0;0;0;0;0;0;7;8;5
80;04/04/2005;01;02;03;04;05;07;09;10;14;15;17;18;20;22;25;0,00;1;502;19706;292151;1294632;0;0;0;0;0;0;0;0;7;8;5
81;11/04/2005;01;02;03;04;05;06;07;10;11;13;15;16;17;19;21;0,00;6;866;29787;387171;1619963;0;0;0;0;0;0;0;0;5;10;8
82;18/04/2005;01;04;05;06;08;09;12;13;15;17;18;19;20;22;23;0,00;4;636;20746;250768;1418972;0;0;0;0;0;0;0;0;7;8;5
83;25/04/2005;01;02;03;05;06;08;10;11;12;13;14;20;23;24;25;0,00;3;505;19766;290953;1615749;0;0;0;0;0;0;0;0;8;7;6
84;02/05/2005;01;02;04;06;08;12;15;16;17;19;20;22;23;24;25;0,00;2;525;21813;263703;1419482;0;0;0;0;0;0;0;0;9;6;4
85;09/05/2005;01;02;05;07;08;09;11;13;14;15;16;18;21;22;23;0,00;13;988;41716;303054;1673514;0;0;0;0;0;0;0;0;6;9;6
86;16/05/2005;02;04;05;06;08;09;12;13;14;17;18;19;23;24;25;0,00;14;1437;33924;344925;1583126;0;0;0;0;0;0;0;0;8;7;6
87;23/05/2005;01;02;03;05;08;09;10;11;13;15;18;20;22;24;25;0,00;14;1308;46044;353024;1711252;0;0;0;0;0;0;0;0;7;8;5
88;30/05/2005;01;02;04;05;08;09;10;11;12;14;17;18;19;24;25;0,00;5;853;30153;318718;1383793;0;0;0;0;0;0;0;0;8;7;5
89;06/06/2005;01;06;11;12;13;15;16;17;19;20;21;22;23;24;25;0,00;2;528;59274;230638;1266634;0;0;0;0;0;0;0;0;6;9;5
90;13/06/2005;01;02;03;08;10;11;12;15;17;20;21;22;23;24;25;0,00;4;525;17979;236987;1539050;0;0;0;0;0;0;0;0;7;8;5
91;20/06/2005;01;04;09;10;11;12;13;14;15;16;17;20;22;23;25;0,00;2;428;23937;203510;1341264;0;0;0;0;0;0;0;0;7;8;4
92;27/06/2005;01;02;04;06;08;12;13;14;15;17;18;19;21;22;24;0,00;5;714;22604;257642;1433995;0;0;0;0;0;0;0;0;9;6;4
93;04/07/2005;02;04;05;06;07;09;10;13;17;18;19;20;21;23;24;0,00;6;480;18433;230658;1352474;0;0;0;0;0;0;0;0;7;8;7
94;11/07/2005;02;04;08;09;11;12;13;15;16;17;18;21;22;23;24;0,00;2;573;29882;267884;1577059;0;0;0;0;0;0;0;0;8;7;5
95;18/07/2005;01;02;03;04;05;10;11;12;14;15;17;18;19;20;22;0,00;2;401;20787;231813;1294859;0;0;0;0;0;0;0;0;8;7;6
96;25/07/2005;03;04;06;09;10;12;14;16;17;18;19;21;22;23;24;0,00;1;454;16790;220370;1209732;0;0;0;0;0;0;0;0;9;6;4
97;01/08/2005;03;04;06;10;12;13;14;15;17;19;20;22;23;24;25;0,00;4;539;19062;237912;1490877;0;0;0;0;0;0;0;0;8;7;5
98;08/08/2005;01;02;05;06;08;10;11;15;17;18;20;22;23;24;25;0,00;5;1089;31800;376336;1625070;0;0;0;0;0;0;0;0;8;7;5
99;15/08/2005;01;02;03;04;07;10;11;13;14;16;17;20;21;24;25;0,00;4;695;19351;227907;1278734;0;0;0;0;0;0;0;0;7;8;6
100;22/08/2005;01;03;04;08;09;10;11;12;13;14;16;17;22;23;25;0,00;6;547;39008;241845;1371980;0;0;0;0;0;0;0;0;7;8;5
101;29/08/2005;01;03;06;07;09;10;13;14;16;17;19;20;21;23;24;0,00;9;917;26691;287551;1473207;0;0;0;0;0;0;0;0;6;9;6
102;05/09/2005;01;02;03;04;07;09;10;11;12;18;19;21;22;23;25;0,00;5;622;20635;267607;1361023;0;0;0;0;0;0;0;0;6;9;6
103;12/09/2005;01;02;03;04;05;07;08;10;11;16;17;18;22;23;25;0,00;5;467;26477;269789;1577960;0;0;0;0;0;0;0;0;7;8;7
104;19/09/2005;05;06;07;10;11;13;14;15;16;18;19;21;22;24;25;0,00;2;354;13835;196494;1186254;0;0;0;0;0;0;0;0;7;8;5
105;26/09/2005;04;06;07;08;09;10;11;12;13;15;17;19;21;22;25;0,00;2;425;15988;225268;1278152;0;0;0;0;0;0;0;0;6;9;5
106;03/10/2005;01;02;03;04;05;06;10;12;13;14;15;17;22;23;25;0,00;3;471;22766;286573;1570457;0;0;0;0;0;0;0;0;7;8;6
107;10/10/2005;01;03;04;06;07;08;09;11;12;15;17;18;21;24;25;0,00;1;494;16680;215950;1314644;0;0;0;0;0;0;0;0;6;9;4
108;17/10/2005;01;02;04;07;08;09;11;12;14;15;16;18;22;23;25;0,00;8;1094;26164;281728;1425759;0;0;0;0;0;0;0;0;8;7;4
109;24/10/2005;01;03;05;07;09;11;12;13;16;18;20;21;23;24;25;0,00;14;2257;44187;335886;1552174;0;0;0;0;0;0;0;0;5;10;6
110;31/10/2005;01;03;04;05;06;12;13;14;17;19;20;21;22;23;25;0,00;2;442;23523;280697;1423182;0;0;0;0;0;0;0;0;6;9;6
111;07/11/2005;01;05;06;10;11;12;13;15;17;18;19;21;22;24;25;0,00;1;415;17785;266234;1440550;0;0;0;0;0;0;0;0;6;9;5
112;14/11/2005;01;02;03;04;06;10;11;14;15;17;18;19;20;21;23;0,00;1;341;13885;218980;1274318;0;0;0;0;0;0;0;0;7;8;6
113;21/11/2005;01;02;04;05;06;08;11;12;13;14;19;20;21;24;25;0,00;3;437;16637;236170;1390432;0;0;0;0;0;0;0;0;8;7;5
114;28/11/2005;01;02;03;06;07;08;09;10;11;14;20;21;22;24;25;0,00;0;320;11371;182608;1159190;0;0;0;0;0;0;0;0;8;7;4
115;05/12/2005;01;04;05;06;07;09;11;12;13;16;17;18;20;21;25;0,00;1;674;22580;326888;1754217;0;0;0;0;0;0;0;0;6;9;5
116;12/12/2005;01;02;09;10;11;12;13;14;16;18;19;20;21;23;25;0,00;2;484;20047;292261;1619598;0;0;0;0;0;0;0;0;7;8;5
117;19/12/2005;05;06;07;09;10;11;12;13;14;15;17;18;20;23;25;0,00;3;498;18606;280170;1592727;0;0;0;0;0;0;0;0;6;9;6
118;26/12/2005;02;04;05;06;08;12;13;14;15;18;19;21;22;23;24;0,00;4;660;35222;301415;1520411;0;0;0;0;0;0;0;0;9;6;5
119;02/01/2006;01;04;06;08;09;10;11;15;17;18;20;21;22;23;24;0,00;1;370;20989;223234;1259823;0;0;0;0;0;0;0;0;8;7;3
120;09/01/2006;01;03;05;07;08;11;12;13;15;16;18;19;20;21;24;0,00;2;758;25198;303361;1549722;0;0;0;0;0;0;0;0;6;9;6
121;16/01/2006;01;02;04;05;07;09;10;11;12;16;17;18;23;24;25;0,00;3;830;27637;298499;1491043;0;0;0;0;0;0;0;0;7;8;6
122;23/01/2006;01;02;04;05;08;09;10;13;15;17;18;20;22;23;25;0,00;8;1291;32778;368045;1643408;0;0;0;0;0;0;0;0;7;8;5
123;30/01/2006;04;05;06;07;11;12;13;17;18;19;20;21;22;23;24;0,00;4;670;18123;225258;1346974;0;0;0;0;0;0;0;0;7;8;7
124;06/02/2006;02;03;04;06;07;09;14;15;16;18;19;20;21;24;25;0,00;2;396;15090;194421;1186925;0;0;0;0;0;0;0;0;8;7;4
125;13/02/2006;02;03;04;06;07;09;10;11;12;15;16;21;22;24;25;0,00;2;395;13621;188288;1269512;0;0;0;0;0;0;0;0;8;7;4
126;20/02/2006;01;02;03;04;06;07;08;13;14;16;18;21;22;24;25;0,00;0;493;18073;245449;1428758;0;0;0;0;0;0;0;0;9;6;4
127;01/03/2006;01;02;03;04;05;07;10;11;12;13;18;19;22;23;25;0,00;5;633;26537;226287;1209770;0;0;0;0;0;0;0;0;6;9;8
128;06/03/2006;02;03;04;06;11;13;14;15;16;17;19;20;21;23;25;0,00;2;422;18165;257399;1512543;0;0;0;0;0;0;0;0;6;9;7
129;13/03/2006;02;05;06;07;09;11;13;15;18;19;20;21;22;23;25;0,00;3;907;38023;333579;1684780;0;0;0;0;0;0;0;0;5;10;7
130;20/03/2006;02;03;04;05;06;09;10;12;13;15;17;19;23;24;25;0,00;3;952;29720;362203;1689512;0;0;0;0;0;0;0;0;6;9;7
131;27/03/2006;02;04;05;06;07;08;11;12;13;15;19;20;22;23;25;0,00;1;660;23967;320580;1600418;0;0;0;0;0;0;0;0;7;8;7
132;03/04/2006;01;03;04;05;07;09;10;11;14;15;16;17;22;23;25;0,00;10;792;26452;340872;1584197;0;0;0;0;0;0;0;0;5;10;6
133;10/04/2006;01;03;04;05;08;09;11;13;15;18;19;20;21;22;23;0,00;5;895;32294;385069;1862691;0;0;0;0;0;0;0;0;5;10;6
134;17/04/2006;01;03;05;07;08;10;11;12;13;14;16;17;19;22;25;0,00;4;1345;32243;321650;1628816;0;0;0;0;0;0;0;0;6;9;7
135;24/04/2006;01;02;05;07;08;10;13;14;15;18;19;20;21;22;25;0,00;7;775;20815;253415;1441124;0;0;0;0;0;0;0;0;7;8;5
136;02/05/2006;01;02;03;05;06;09;12;13;14;15;17;21;22;23;24;0,00;2;329;14555;238514;1255488;0;0;0;0;0;0;0;0;6;9;6
137;08/05/2006;02;06;08;09;10;11;12;13;16;17;18;19;20;21;25;0,00;2;313;12648;221694;1259615;0;0;0;0;0;0;0;0;8;7;5
138;15/05/2006;02;03;04;05;07;08;11;13;15;16;17;21;22;24;25;0,00;3;464;18695;250239;1503282;0;0;0;0;0;0;0;0;6;9;7
139;22/05/2006;01;02;07;09;12;14;15;16;17;18;19;21;22;23;24;0,00;1;443;18564;247145;1370404;0;0;0;0;0;0;0;0;7;8;5
140;29/05/2006;01;02;03;06;09;10;12;13;15;18;19;20;22;24;25;0,00;7;787;22971;268181;1413296;0;0;0;0;0;0;0;0;8;7;4
141;05/06/2006;01;03;07;08;09;10;12;13;16;17;18;19;20;24;25;0,00;2;471;17588;247734;1532701;0;0;0;0;0;0;0;0;7;8;5
142;12/06/2006;01;02;04;05;06;07;09;15;16;17;18;19;22;23;24;0,00;1;373;15636;246926;1364705;0;0;0;0;0;0;0;0;7;8;6
143;19/06/2006;01;02;08;09;11;13;15;16;17;19;21;22;23;24;25;0,00;5;677;29324;326923;1643883;0;0;0;0;0;0;0;0;5;10;6
144;26/06/2006;01;02;04;07;09;11;12;14;17;19;20;21;22;24;25;0,00;36;3305;39042;295178;1379832;0;0;0;0;0;0;0;0;7;8;5
145;03/07/2006;01;02;03;09;10;11;13;14;15;17;18;20;22;24;25;0,00;3;815;30436;317461;1442001;0;0;0;0;0;0;0;0;7;8;5
146;10/07/2006;01;02;05;08;10;11;12;13;14;16;17;22;23;24;25;0,00;6;557;21375;302776;1519562;0;0;0;0;0;0;0;0;8;7;6
147;17/07/2006;01;02;04;05;06;10;11;12;13;16;19;21;22;23;25;0,00;3;624;25125;278315;1546507;0;0;0;0;0;0;0;0;7;8;6
148;24/07/2006;01;02;04;05;08;09;12;13;16;17;20;21;22;24;25;0,00;17;1024;23278;276551;1552055;0;0;0;0;0;0;0;0;8;7;4
149;31/07/2006;02;05;07;09;10;13;15;16;17;18;19;20;23;24;25;0,00;5;616;22974;303309;1711630;0;0;0;0;0;0;0;0;6;9;7
150;07/08/2006;01;03;05;06;07;08;09;11;14;19;21;22;23;24;25;0,00;1;333;15291;253716;1446824;0;0;0;0;0;0;0;0;5;10;6
151;14/08/2006;03;04;05;07;09;10;11;12;13;14;16;18;20;23;24;0,00;5;626;23014;277803;1417099;0;0;0;0;0;0;0;0;8;7;6
152;21/08/2006;03;04;05;06;07;08;13;15;17;19;20;22;23;24;25;0,00;3;749;23507;300483;1517767;0;0;0;0;0;0;0;0;6;9;7
153;28/08/2006;01;02;04;05;08;11;12;13;17;18;20;21;23;24;25;0,00;8;958;30251;365810;1713398;0;0;0;0;0;0;0;0;7;8;6
154;04/09/2006;01;02;03;05;06;09;10;11;13;14;15;16;18;23;24;0,00;1;604;27326;262834;1558936;0;0;0;0;0;0;0;0;7;8;6
155;11/09/2006;02;04;05;08;10;11;14;15;16;18;19;20;21;22;24;0,00;0;559;22378;250331;1242889;0;0;0;0;0;0;0;0;10;5;4
156;18/09/2006;01;03;04;08;09;10;11;12;13;14;15;19;20;22;23;0,00;7;606;23142;344899;1779082;0;0;0;0;0;0;0;0;7;8;5
157;25/09/2006;01;02;04;06;07;09;10;12;14;16;18;19;21;24;25;0,00;9;1164;27968;294624;1457786;0;0;0;0;0;0;0;0;9;6;3
158;02/10/2006;02;07;08;09;10;11;12;15;16;17;18;19;20;22;23;0,00;2;379;14044;227436;1333606;0;0;0;0;0;0;0;0;8;7;6
159;09/10/2006;01;02;03;04;05;06;08;10;11;14;15;17;20;24;25;0,00;2;699;23036;296027;1584286;0;0;0;0;0;0;0;0;8;7;5
160;16/10/2006;01;03;04;09;10;11;12;14;15;16;17;19;20;21;24;0,00;3;343;15261;208539;1221736;0;0;0;0;0;0;0;0;7;8;4
161;19/10/2006;01;05;08;11;13;15;16;17;18;20;21;22;23;24;25;0,00;0;611;15775;239227;918806;0;0;0;0;0;0;0;0;6;9;5
162;23/10/2006;01;02;03;04;05;06;08;11;12;13;16;18;20;23;24;0,00;5;473;17329;259119;1359430;0;0;0;0;0;0;0;0;9;6;6
163;26/10/2006;01;02;03;05;06;07;09;13;14;15;20;21;23;24;25;0,00;3;301;14090;182825;1000015;0;0;0;0;0;0;0;0;5;10;6
164;30/10/2006;01;02;03;05;06;08;10;11;14;15;18;21;22;23;24;0,00;1;350;14833;215986;1200787;0;0;0;0;0;0;0;0;8;7;5
165;03/11/2006;01;02;04;06;08;09;12;13;14;15;17;18;19;22;25;0,00;2;474;15818;152856;784846;0;0;0;0;0;0;0;0;8;7;4
166;06/11/2006;02;03;04;08;09;10;13;14;15;18;19;20;21;22;23;0,00;39;1363;18402;206939;965304;0;0;0;0;0;0;0;0;8;7;5
167;09/11/2006;01;02;03;06;08;09;10;13;14;16;18;19;22;23;24;0,00;3;531;16831;202659;1017291;0;0;0;0;0;0;0;0;9;6;5
168;13/11/2006;01;02;03;04;07;10;12;15;16;17;19;20;22;23;24;0,00;1;386;15449;205259;1185853;0;0;0;0;0;0;0;0;8;7;6
169;16/11/2006;01;04;05;06;07;08;09;10;11;12;15;16;20;21;24;0,00;0;239;8661;119123;733474;0;0;0;0;0;0;0;0;8;7;3
